ID,goal,others,examples,examples-2,examples-3,character,choices_text,choices_nextNode
M4-04,科普原理（疾病的分子机制）： （重点优化） 使用“蛋白质折叠错误”的比喻，通俗地解释SBMA的致病原理。需讲清三个关键点：1. 基因层面：AR基因内部有段序列“异常变长”了。2. 蛋白层面：导致造出来的蛋白质带了个“长尾巴”，无法正常折叠。3. 细胞层面：这些错误蛋白在神经细胞内“堆积成垃圾”，最终毒害了细胞。,配发病机制说明文字及致病蛋白导致神经细胞功能丧失的动画,这个疾病的分子致病机制主要是雄激素受体基因（AR基因）发生动态突变导致的。这个蛋白主要在神经细胞的存活和树突的生长中发挥作用。简单的讲，就是基因内部有一段序列出现了异常扩展延伸而致病。它的扩展次数超出了我们正常人群的范围。就会使这个雄激素受体蛋白拖着长长的尾巴，不容易正确折叠，溶解度下降。所以容易在神经细胞内形成堆积物，造成毒害。,,简单来说，致病的根本原因是AR基因内部一段序列的“口吃”现象，它重复了很多次。这导致生产出来的蛋白质形态不正常，在神经细胞里既不能好好工作，也无法被正常清理，日积月累就对细胞造成了损害。,咨询师,(自动继续),M4-05
M4-05,关心疾病的严重性和未来发展，询问舅舅的病情会发展到什么程度，是否会像“渐冻症”一样严重。,（感到害怕）,这病严重不严重？,这病最后会发展到什么程度？,,咨询者,(自动继续),M4-06
M4-06,管理预期（疾病预后）： 主动将SBMA与咨询者最担心的“渐冻症”进行对比，纠正其错误预期。核心是传递两个信息：1. 病程：进展缓慢。2. 生存期：无显著影响，多数为自然寿命。,,该病进展缓慢，相对于“渐冻症”来讲，对生存期无显著影响。肯尼迪病可持 续 20-30 年，预期寿命无法确定，大多为自然寿命。但病程中晚期，大部分患者也会由于肌无力而与轮椅为伴，有些患者可能由于肺炎而去世。,这一点你可以放心，它和让你担心的“渐冻症”不一样。这个病进展非常缓慢，通常不会影响自然寿命。虽然到了晚期可能会因为行动不便需要轮椅，但整体的生存预期是比较乐观的。,虽然都叫运动神经元病，但肯尼迪病要比“渐冻症”温和得多。它的发展过程可能长达几十年，对生命长度没有明显影响。主要的挑战是后期生活质量会因肌无力下降，需要关注预防摔倒和肺部感染。,咨询师,(自动继续),M4-07
M4-07,在了解预后情况后，询问当前是否有有效的治疗方法。,(期待的眼神) ,那这病能治疗吗?,,,咨询者,(自动继续),M4-08
M4-08,管理预期（治疗现状）： 诚实地告知当前尚无特效疗法，避免给予虚假希望。同时，给出当前最有益的循证干预建议（康复性运动），赋予患者积极应对的抓手。,,目前的治疗方案还在研究探索之中，包括去体内雄激素；蛋白质质控系统；敲除基因等方面。若诊断为肯尼迪病要坚持合理运动和肌肉锻炼，尽量将病情控制，不再恶化。,很遗憾，目前还没有可以根治这个病的特效药。但是，这不代表我们什么都做不了。坚持合理的康复运动和肌肉锻炼，对于延缓病情恶化、维持身体机能，是目前最有效的方法。,坦白说，针对病因的药物还在研究阶段，没有上市。不过，积极的康复治疗，比如物理疗法和适度锻炼，已经被证明可以帮助患者更好地控制症状，延缓肌肉萎缩。,咨询师,(自动继续),M4-09
M4-09,在舅舅确诊后，为自己、母亲和妹妹的健康感到担忧，主动询问家族成员的患病风险，以及是否需要也进行基因检测。,,医生，我舅舅确诊了。我和妈妈、妹妹是不是也有患病风险呀？要不要也做一个分子诊断确定一下啊？,,,咨询者,(自动继续),M4-10
M4-10,遗传咨询（启动）： 开始家族遗传风险评估，首先清晰地抛出核心遗传学原理——X连锁隐性遗传。,,这个疾病的主要遗传方式是X连锁的隐性遗传。,这个疾病的主要遗传方式是XR遗传方式。,这种病的遗传方式比较特殊，叫做“X连锁隐性遗传”，我们需要根据这个规律来分析。,咨询师,(自动继续),M4-11_part1
M4-11_part1,遗传咨询（风险评估）： 结合系谱图，将抽象的遗传学原理应用到具体家庭成员上，逐一、量化地评估母亲（携带风险）、咨询者本人（患病风险）和妹妹（携带风险）。,（将前面系谱呈现）,根据这个系谱图，你母亲有携带致病基因的风险，当然这需要做检测来证实或排除。,根据这个系谱图，母亲有女性携带者的风险，当然这需要做检测来证实或排除。,我们来看这张家系图。致病基因是从你外婆传给你母亲，再传给你舅舅的。所以，你母亲是致病基因携带者的可能性非常高，但最终确认还需要她本人做基因检测。,咨询师,(自动继续),M4-11_part2
M4-11_part2,伦理咨询（症前诊断的复杂性）： （重点优化） 引导咨询者思考“症前诊断”这一医学伦理议题。核心是揭示其内在矛盾：一方面是“知情权”和“确定性”带来的好处，另一方面是过早获知坏消息可能带来的巨大心理压力和生活影响。最终将选择权交还给咨询者本人。,,如果你母亲通过基因检测证实确实携带的话，那么你有遗传突变基因并患病的风险，你妹妹有携带风险，需要做检测来证实或排除。但这个疾病一般发病年龄较晚，在 30—50 岁之间，男性患者居多。发病前做分子诊断，一旦确诊为患者可能会带来一些精神上的焦虑，影响正常生活。当然是否需要做这个症前诊断要个人去决定。,我们可以推算出你和你妹妹的风险。但“要不要在发病前检测”是一个复杂的伦理问题。有些人希望早知道早规划，有些人则认为不知道才能更轻松地生活。这没有对错之分，完全取决于你们自己如何看待这件事，以及你们的心理承受能力。,如果确认你母亲是携带者，那么你作为男性，有50%的概率遗传到并最终发病；你妹妹作为女性，则有50%的概率成为携带者。但是，是否要提前知道这个结果，是一个非常个人化的选择。好处是能获得确定性，坏处是可能会在发病前几十年就背上巨大的心理包袱。这件事需要你们自己深思熟虑。,咨询师,(自动继续),M4-13
M4-13,表示已经清楚了解了疾病的相关情况，并决定与家人商议后再做决定，感谢医生并结束咨询。,,好的，谢谢医生。我对这个疾病了解清楚了，我们回去再商量一下，谢谢您!,,,咨询者,(自动继续),M4-14
M4-14,建立长期关系： 结束本次咨询，但同时敞开未来沟通的渠道，表达愿意提供持续性支持的专业态度。,,"不客气，后续有需要我帮助的,随时来找我。",不用谢。这是一个重大的家庭事件，需要时间消化和商量。无论你们做出什么决定，或者有新的问题，都欢迎随时再来找我。,我理解。你们回去好好商量一下。记住我的联系方式，未来有任何需要，我都在这里。,咨询师,(自动继续),END
