ID,goal,others,examples,examples-2,character,choices_text,choices_nextNode
M1-11,家系图构建（外婆辈）： 向上追溯一代，收集咨询者外婆的健康史，并首次尝试验证家族中是否存在垂直遗传的迹象。,,你的外婆多大年龄了？外婆生前也是有类似症状吗？,你的外婆高寿了？外婆生前也是有类似症状吗？,咨询师,(自动继续),M1-12
M1-12,回答外婆情况,,我外婆去世的很早。56 岁时由于一场意外车祸去世的。,,咨询者,(自动继续),M1-13
M1-13,家系图构建（曾外公辈）： 继续向上追溯，尝试在家系中寻找遗传病的可能源头或更早的患病记录。,,你还知道妈妈这面的亲属有类似症状的吗？,,咨询师,(自动继续),M1-14
M1-14,回答曾外公,,没有的。我只听妈妈说，外婆的爸爸有类似的症状，最后老年时是一场肺炎去世的。,,咨询者,(自动继续),M2-01
M2-01,信息采集（补充）： 从间接描述转向直接证据，向咨询者请求提供能直观反映患者当前病情的视觉材料（如视频、照片）。,点头表示理解,我明白了，关于你舅舅的情况，确实值得关注。首先，我想更直观地了解一下你舅舅现在的状况。有没有影像资料，需要看一下他发病时的情况。,我明白了，关于你舅舅的情况，确实值得关注。目前你舅舅主要症状能简单说一下吗？有没有影像资料，需要看一下他发病时的情况。 ,咨询师,(自动继续),M2-02
M2-02,准备播放视频,（立 刻拿出手机，翻找视频）,嗯，这个..... 我有暑假的时候拍摄的视频，里面有我舅舅。您稍等，我找一下。,,咨询者,(自动继续),M2-03
M2-03,,,对，是这个，您看。,,,,M2-04
M2-04,视频内容呈现,,（舅舅出现在屏幕上，可以看到他发音略显困难，言语不清，张嘴可见舌肌萎缩，取药时显 得手无力，吞咽困难。）,,系统,(自动继续),M2-05
M2-05,诊断史调查： 明确患者在此之前是否已有过正式的医学诊断，评估其过往的就医经历。,,那你舅舅之前有没有去医院做过相关的检查？,那你舅舅的病有确诊过吗？,咨询师,(自动继续),M2-06
M2-06,回答未确诊,,没有啊，开始一直以为是累的，他就没太在意。之后也一直拖着，没到大医院做详 细的检查。自己只是去小诊所做了理疗、按摩，没什么效果。,,咨询者,(自动继续),M2-07
M2-07,给出行动指令（转诊）： 基于现有信息，为咨询者提供一套清晰、权威且可执行的行动方案。目标需包含：1. 医院等级（三甲）。2. 城市线级（一线）。,,我建议你舅舅尽快去一线城市的三甲医院，那里有更专业的设备和医生 可以为您做详细的检查和诊断。,,咨询师,(自动继续),M2-08
M2-08,,,好的，回头我就和我舅舅说，让他尽快去大医院看看。那我需要找哪个专科的医生来帮助我舅舅做疾病确诊呢？,,咨询者,,M2-09
M2-09,给出行动指令（转诊）： 基于现有信息，为咨询者提供一套清晰、权威且可执行的行动方案。目标需包含：3. 核心科室（神经内科/神神经科/运动神经元病专病门诊/渐冻症专病门诊）。4. 精准方向（运动障碍方向）。,,建议你们找神经内科医生，最好是运动障碍方向的神经内科医生。有结果后，或中途有任何问题可以再来咨询我。,,咨询师,,M2-10
M2-10,,,好的，谢谢您。,,咨询者,,M3-01
M3-01,带报告返回,（呈现生化检查和神经电生理检查结果，配合对话）,医生好，我带我舅舅去看了神经内科，做了一些检查，这些是检查报告，您帮助看 一下，谢谢！,,咨询者,(自动继续),M3-02
M3-02,信息同步与诊断聚焦： 1. 解读报告：用通俗的语言转述临床检查报告的关键结论。2. 同步诊断：向咨询者清晰地传达神经内科医生当前的临床怀疑方向——肯尼迪病(SBMA)。,增加初诊查 体病历、临床诊断意见；需要生化、电生理检查后有“建议 SBMA 分子诊断字样”的病历,从神经电生理检查结果可以看出，你舅舅的肌肉问题是来源于神经源性损害；从性激素检查结果可以看出你舅舅的雄烯二酮水平增高，可能存在雄激素分泌或受体水平障碍； 肌酸激酶有增高，说明有肌肉细胞的破坏。由以上的检查和临床拟诊。看来神经内科医生也觉得您的舅舅符合运动神经元病，特别是肯尼迪病的临床诊断。,,咨询师,(自动继续),M3-03
M3-03,询问基因检测,,神经内科医生认为我舅舅可能是肯尼迪病，需要通过基因检测做确诊。请您帮忙给个意见：这个基因检测是否应该做？,神经内科医生认为我舅舅可能是肯尼迪病，需要通过基因检测做确诊。请您帮忙给个意见：基因检测需要做吗？/基因检测是把所有的基因都检测筛一下吧？,咨询者,(自动继续),M3-04
M3-04,论证原理（检测的必要性）： （重点优化） 结构化地从三个层面论证基因检测的决定性价值：1. 诊断层面：是“金标准”，实现从“怀疑”到“确诊”的决定性一步。2. 个体层面：为患者本人的预后判断、治疗方案探索和生育咨询提供根本依据。3. 家族层面：是预防疾病在家族中再次发生的关键，能有效保护其他亲属。,,基因检测很有必要。1、对于遗传性疾 病来说，确诊的最直接和最重要的依据是检测发现基因突变，你舅舅目前只是根据临床症状 和其它指证推测是肯尼迪病的可能性大，但是并未确诊。如果基因检测发现了肯尼迪病相应 的基因突变，就可以确诊你舅舅的疾病。如果没有发现，那么排除这种可能后，可指导临床向其它方向的诊断考虑。2、明确基因突变和确诊疾病后，可以有针对性的指导预后和对因治疗，可以进行遗传咨询帮助指导生育。3、明确基因突变后可以对相关家系成员进行基因检测，症状前诊断，发现携带者后可进行生殖干预，减少家族内的再发风险。,,咨询师,(自动继续),M3-05
M3-05,,讲述第二种检测方法时，呈现 STR-PCR 检测原理图，配合对话,总之，基因检测对你舅舅 和你们家族的价值是非常明确的，可结合自己的需求和经济负担能力选择是否进行基因检 测。 肯尼迪病的致病基因是 AR 基因，雄激素受体基因，该基因内部有一段 CAG 三碱基重复 序列，如果重复数超过阈值（39），就会引发肯尼迪病。这种突变叫三碱基重复突变。 基因检测有两种策略：一种是基于二代测序技术，首先通过外显子 捕获技术把与所有与运动障碍相关的基因外显子区捕获下来，再通过二代测序技术测出这些 区域的序列并分析疾病相关致病变异。根据需要可以选择不同数量的、与单基因病相关的基因进行捕获（医学外显子组），甚至是基因组上全部的编码基因（全外显子组）。该 技术主要用于分析点突变，对于部分大片段缺失/重复突变，范围较小的动态突变也有一定 的检出能力。优点是检测范围较宽，可以一次检测多个基因。缺点是费用较高，检测所需时 间较长。这种诊断策略适合临床异质性高，诊断指向性不高的疾病。 另一种是基于PCR扩增技术，在这个区域的两端设计 PCR 扩 增引物，PCR 扩增出该区域的 DNA 序列后，通过凝胶电泳或毛细管电泳等方法检测 DNA 序列的具体长度，从而计算出 CAG 三碱基重复序列的具体重复数， 这种方法也叫做短片段重复检测（STR）。综上，根据你舅舅的情况，这次基因检测采取 PCR-STR 方法比较合适。,,,,M3-06
M3-06,,,价格是多少？价格很贵吗？,,咨询者,,M3-07
M3-07,科普原理（检测的方法学）： （重点优化） 对比两种核心基因检测技术，并给出专家建议：1. 解释“广撒网”策略 (NGS)：介绍二代测序的广度优势，同时点明其针对此类特定突变可能“漏检”的风险和高昂的成本。2. 解释“精确打击”策略 (PCR-STR)：介绍PCR-STR技术如何精准、高效、低成本地检测目标突变。3. 给出结论：基于性价比和精准度，明确推荐PCR-STR为当前最优选择。,,单人检测费用是 500 元，不贵。因为基因和突变类型特殊，使用的方法是成本比较低的 PCR-STR 技术，所以费用不高。如果不懂这个病和基因突变的特殊性，选用诸如全外显子组测序等其它看似更高端的技术，不但费用高，而且有可能漏检这个AR 基因的动态突变。,,咨询师,,M4-01
M4-01,带分子报告返回,（将报告递给咨询师）（放大诊断报告内容，配合后续对话）,医生，您好！上周舅舅到医院做了分子诊断，这是他的诊断报告。请您帮助看一下,,咨询者,(自动继续),M4-02
M4-02,宣布诊断结果： 解读分子诊断报告，以清晰、明确、不含糊的语言，正式告知咨询者最终诊断结果为SBMA，并指出其遗传学病因（AR基因动态突变）。,,嗯，分子诊断也支持是延髓脊髓性肌萎缩，是典型的雄激素受体基因突变导致的，你舅舅的 AR 基因内部序列变长了，超出了正常人群的范围。,【嗯，分子诊断也支持是延髓脊髓性肌萎缩】/【根据检查报告，可以判断舅舅 患有 SBMA】；【是典型的雄激素受体基因突变导致的】/【是 AR 基因突变】/【是 AR 基因 动态突变引起的】；【你舅舅的 AR 基因内部序列变长了，超出了正常人群的范围】/【舅舅 的 AR 基因内部序列扩展到？个了（与分子报告一致）】,咨询师,(自动继续),M4-03
M4-03,询问致病原理,,怎么一个基因突变就这么严重？,基因是怎么突变的？/基因变长了，功 能不是应该加强了吗？,咨询者,(自动继续),M4-04
M4-04,科普原理（疾病的分子机制）： （重点优化） 使用“蛋白质折叠错误”的比喻，通俗地解释SBMA的致病原理。需讲清三个关键点：1. 基因层面：AR基因内部有段序列“异常变长”了。2. 蛋白层面：导致造出来的蛋白质带了个“长尾巴”，无法正常折叠。3. 细胞层面：这些错误蛋白在神经细胞内“堆积成垃圾”，最终毒害了细胞。,配发病机制说明文字及致病蛋白导致神经细胞功能丧失的动画,...基因内部有一段序列出现了异常扩展延伸而致病...容易在神经细胞内形成堆积物，造成毒害。,这个疾病的分子致病机制主要是雄激素受体基因（AR 基因）发生动态突变导致的。 这个蛋白主要在神经细胞的存活和树突的生长中发挥作用。 简单的讲，就是基因内部有一 段序列出现了异常扩展延伸而致病。它的扩展次数超出了我们正常人群的范围。 就会使这 个雄激素受体蛋白拖着长长的尾巴，不容易正确折叠，溶解度下降。所以容易在神经细胞内 形成堆积物，造成毒害。,咨询师,(自动继续),M4-05
M4-05,询问预后,（感到害怕）,这病严重不严重？,这病最后会发展到什么程度？/这病会不会像渐冻症 那样最后生活不能自理？,咨询者,(自动继续),M4-06
M4-06,管理预期（疾病预后）： 主动将SBMA与咨询者最担心的“渐冻症”进行对比，纠正其错误预期。核心是传递两个信息：1. 病程：进展缓慢。2. 生存期：无显著影响，多数为自然寿命。,,该病进展缓慢，相对于“渐冻症”来讲，对生存期无显著影响。肯尼迪病可持 续 20-30 年，预期寿命无法确定，大多为自然寿命。但病程中晚期，大部分患者也会由于肌 无力而与轮椅为伴，有些患者可能由于肺炎而去世。,,咨询师,(自动继续),M4-07
M4-07,询问治疗,(期待的眼神) ,那这病能治疗吗?,,咨询者,(自动继续),M4-08
M4-08,管理预期（治疗现状）： 诚实地告知当前尚无特效疗法，避免给予虚假希望。同时，给出当前最有益的循证干预建议（康复性运动），赋予患者积极应对的抓手。,,目前的治疗方案还在研究探索之中，包括去体内雄激素；蛋白质质控系统；敲除基因等方面。若诊断为肯尼迪病要坚持合理运动和肌肉锻炼，尽量将病情控制，不再恶化。,,咨询师,(自动继续),M4-09
M4-09,询问家族风险,,医生，我舅舅确诊了。我和妈妈、妹妹是不是也有患病风险呀？要不要也做一个分子诊断确定一下啊？,,咨询者,(自动继续),M4-10
M4-10,遗传咨询（启动）： 开始家族遗传风险评估，首先清晰地抛出核心遗传学原理——X连锁隐性遗传。,,这个疾病的主要遗传方式是X 连锁的隐性遗传。,这个疾病的主要遗传方式是【X 连锁的隐性遗传】/【XR 遗传方式】。,咨询师,(自动继续),M4-11
M4-11,遗传咨询（风险评估）： 结合系谱图，将抽象的遗传学原理应用到具体家庭成员上，逐一、量化地评估母亲（携带风险）、咨询者本人（患病风险）和妹妹（携带风险）。,（将前面系谱呈现）,根据这个系谱图，你母亲有携带致病基因的风险，当然这需要做检测来证实或排除。,根据这个系谱图，【你母亲有携带致病基因的风险】/【母亲有女性携带者的风险】， 当然这需要做检测来证实或排除。,咨询师,(自动继续),M4-12
M4-12,伦理咨询（症前诊断的复杂性）： （重点优化） 引导咨询者思考“症前诊断”这一医学伦理议题。核心是揭示其内在矛盾：一方面是“知情权”和“确定性”带来的好处，另一方面是过早获知坏消息可能带来的巨大心理压力和生活影响。最终将选择权交还给咨询者本人。,,如果你母亲通过基因检测证实确实携带的话，那么你有遗传突变基因并患病的风险，你妹妹有携带风险，需要做检测来证实或排除。但这个疾病一般发病年龄较晚，在 30—50 岁之间，男性患者居多。发病前做分子诊断，一旦确诊为患者可能会带来一些精神上的焦虑，影响正常生活。当然是否需要做这个症前诊断要个人去决定。,【如果你母亲通过基因检测证实确实携带的话，那么你有 遗传突变基因并患病的风险】，【你妹妹有携带风险】/【你妹妹是女性携带者】，需要做检测 来证实或排除。但这个疾病一般【发病年龄较晚】，在 30—50 岁之间，男性患者居多。【发 病前做分子诊断】/【症前诊断】，一旦确诊为患者可能会带来一些精神上的焦虑，影响正常 生活。当然是否需要做这个症前诊断要【个人去决定】。,咨询师,(自动继续),M4-13
M4-13,理解并结束,,好的，谢谢医生。我对这个疾病了解清楚了，我们回去再商量一下，谢谢您!,,咨询者,(自动继续),M4-14
M4-14,建立长期关系： 结束本次咨询，但同时敞开未来沟通的渠道，表达愿意提供持续性支持的专业态度。,,"不客气，后续有需要我帮助的,随时来找我。 ",,咨询师,(自动继续),END
